City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,ankang,32.68,109.0172,23.83,68,65,0.51,CN,1687737568
340,quiberon,47.4841,-3.1196,18.37,76,35,3.13,FR,1687737568
341,candolim,15.5181,73.7626,27.82,79,100,6.41,IN,1687737568
342,ormara,25.2088,64.6357,28.91,80,78,3.82,PK,1687737568
343,narvik,68.4384,17.4272,12.43,84,90,1.62,NO,1687737568
344,cold lake,54.4502,-110.2017,19.97,68,75,7.72,CA,1687737513
345,soio,-6.1349,12.3689,21.37,94,90,2.65,AO,1687737569
346,ancud,-41.8697,-73.8203,9.92,81,53,8.52,CL,1687737569
347,gondal,21.9667,70.8,26.96,80,100,4.61,IN,1687737569
348,zhangjiakou,40.81,114.8794,22.99,50,100,0.94,CN,1687737569
349,casper,42.8666,-106.3131,27.62,26,0,1.34,US,1687737302
350,puerto colombia,10.9878,-74.9547,26.05,81,95,2.38,CO,1687737569
351,al jadid,27.05,14.4,29.07,18,0,3.21,LY,1687737569
352,rayong,12.8333,101.4333,28.38,98,100,1.0,TH,1687737569
353,bangar,16.8936,120.4243,28.37,72,57,0.19,PH,1687737570
354,san patricio,28.017,-97.5169,34.4,62,0,7.99,US,1687737570
355,goulburn,-34.75,149.7167,8.77,75,17,2.24,AU,1687737570
356,kavieng,-2.5744,150.7967,28.34,77,92,5.29,PG,1687737570
357,vila franca do campo,37.7167,-25.4333,20.23,84,25,1.97,PT,1687737570
358,ambovombe,-25.1667,46.0833,15.05,71,2,0.78,MG,1687737570
359,kayangel,8.0823,134.7173,28.32,75,100,4.88,PW,1687737570
360,tieli,46.95,128.05,29.58,36,63,4.76,CN,1687737570
361,sretensk,52.2453,117.7093,18.77,77,95,2.19,RU,1687737570
362,carolina beach,34.0352,-77.8936,28.04,77,52,4.75,US,1687737571
363,puerto aysen,-45.4,-72.7,4.62,100,100,1.14,CL,1687737571
364,port saint john's,-31.6229,29.5448,18.23,89,97,3.06,ZA,1687737571
